site,sampleid,mel_s,pb_s,het_s,sum_s,mel_r,pb_r,het_r,sum_r,sum_t,eggs_r,yield_kgha,b,g,nir,r,re,rndvi,gndvi,bndvi,rendvi,sr,rdvi,savi,vari,evi,nli
a,21,0,0,0,0,0,0,0,533.3333333333334,533.3333333333334,533.3333333333334,1325.7818610547668,0.052008952863295,0.052008952863295,0.424316630753524,0.041493989506606,0.155018207397969,0.8218418056529762,0.7816243567335501,0.7816243567335501,0.46484072011760297,10.22597816693358,0.6754239535189442,0.9175842391931377,0.2534093125707996,4.379277008349025,0.6254017053009271
a,22,12,8,4,24,213.33333333333337,26.666666666666668,0,2983.3333333333335,3007.3333333333335,2743.3333333333335,1948.3866024340775,0.047936320118606,0.047936320118606,0.40768009940019,0.035865178307116,0.146073916587688,0.838279516839842,0.7895759763476723,0.7895759763476723,0.4724230890602313,11.367017219577084,0.702712548353239,0.9240771193807317,0.3365699651100012,4.529681602632383,0.6450191480285443
a,23,76,0,100,176,380,30,20,4140,4316,3710,1516.2256643002029,0.048044669554456,0.048044669554456,0.406675369471543,0.037558199049493,0.14289825612350401,0.830907874996779,0.7886846172103313,0.7886846172103313,0.47996683440264476,10.82787193644826,0.6904078967316629,0.916327368220025,0.27920589299673987,4.396497777898405,0.6298646532606561
a,24,52,0,8,60,350,350,50,2175,2235,1425,783.7494979716026,0.050526939839234,0.050526939839234,0.462771421846221,0.032367017250234,0.154340720160262,0.8692607372221054,0.8031283806426934,0.8031283806426934,0.4997968451619265,14.297623357397116,0.7556142292759181,0.9854506595344635,0.5610625918540181,4.8702442157680315,0.7374132828580567
a,25,28,4,48,80,368,336,80,1288,1368,504,622.6047413793103,0.044540833291488,0.044540833291488,0.485610418240814,0.024212984190158,0.144055464524118,0.9050142301247682,0.8319693364384178,0.8319693364384178,0.5424383995792987,20.055785541635263,0.819050756728327,1.0332516728501544,0.8395433186460673,4.886013970004922,0.8137680950307867
a,26,12,4,64,80,95.23809523809524,228.57142857142856,304.76190476190476,2280.9523809523807,2360.9523809523807,1652.3809523809523,1062.0904411764704,0.047002839561213,0.047002839561213,0.45117942524917,0.032851257025922,0.146695356571326,0.8642596090334147,0.8113026380852675,0.8113026380852675,0.5092773235069501,13.734007952668508,0.7469446718065909,0.9743204316263371,0.4307775049254396,4.5359763629716685,0.7220871957562126
a,27,4,0,20,24,0,100,0,866.6666666666666,890.6666666666666,766.6666666666666,1267.1837677484789,0.047379416928732,0.047379416928732,0.489683253861172,0.029657366313723,0.150666005117989,0.8857883817994614,0.8235609380221975,0.8235609380221975,0.5294255345647486,16.511353323864995,0.7846210573309084,1.0157479338472712,0.597559824683714,4.682778271473613,0.7798649811417863
a,29,12,20,920,952,200,80,200,3380,4332,2900,1289.158052738337,0.049265545037022,0.049265545037022,0.404888637781143,0.038345814843116,0.148269326945816,0.8269727697561331,0.7830448473189686,0.7830448473189686,0.4639168685964692,10.558874271877164,0.6838839619181303,0.9114436882959456,0.2847698044384198,4.451803835020224,0.6208651712281972
a,30,0,0,4,4,80,106.66666666666669,26.666666666666668,713.3333333333334,717.3333333333334,500,1692.0199442190672,0.051375212032687,0.051375212032687,0.504250953197479,0.029107198552652,0.15825229157101,0.8908530845281307,0.8150727404588478,0.8150727404588478,0.5222595728529267,17.32392597952495,0.7936192182132848,1.0279184432580024,0.7650345820726924,5.046117470660126,0.7945685187632227
a,31,0,12,0,12,300,100,400,7910,7922,7110,944.8942545638946,0.047944858848939,0.047944858848939,0.453077896274764,0.034368903475824,0.149445752211163,0.8589839814584502,0.8086120506159392,0.8086120506159392,0.5039339863698196,13.182785903934093,0.7378534804022112,0.9700619254591344,0.3950069394173338,4.492677519288285,0.7131723684286342
a,32,0,0,4,4,320,80,800,12036.666666666666,12040.666666666666,10836.666666666666,725.1514046653145,0.046990203283673,0.046990203283673,0.429072331990639,0.033283164670324,0.143853428807572,0.8560278188074405,0.8025881063856589,0.8025881063856589,0.4978287287792656,12.891572548484527,0.7327836265722242,0.9539302764508081,0.4118309887031415,4.58057374274822,0.6937877384831378
a,33,4,0,0,4,0,0,0,520,524,520,417.51141480730223,0.047206663904523,0.047206663904523,0.428005954925565,0.033657602306428,0.144976205826885,0.8541899104697382,0.8013240304066853,0.8013240304066853,0.49395909416621353,12.716471928953283,0.7296404031482995,0.9515155296580472,0.4025557576781805,4.573270032279229,0.6895723813739113
a,34,32,0,0,32,26.666666666666668,13.333333333333334,0,1733.3333333333333,1765.3333333333333,1693.3333333333333,1626.0970892494931,0.048631614406,0.048631614406,0.439695274721492,0.032873714241115,0.14978016176007,0.8608723170207166,0.8008235242057158,0.8008235242057158,0.4918188189347737,13.375284322803024,0.7411011462126172,0.9646889926130066,0.4793465091686131,4.736415179577598,0.7093466550660547
