"x","y","cells","B02M","B03M","B04M","B08M","B02J","B03J","B04J","B08J","B02N","B03N","B04N","B08N","B02JA","B03JA","B04JA","B08JA","B05M","B06M","B07M","B11M","B12M","B8AM","B05J","B06J","B07J","B11J","B12J","B8AJ","B05N","B06N","B07N","B11N","B12N","B8AN","B05JA","B06JA","B07JA","B11JA","B12JA","B8AJA","class"
643399.56068349,6661578.83027309,4772,815,1146,1463,2562,261,392,261,3196,488,443,608,762,719,520,635,877,1786.3125,2214.4375,2396.8125,3187.25,2556.375,2621.6875,574.125,2076.125,2909.5625,1256.4375,705.375,3151,722.3125,754.4375,806.3125,963.625,788.8125,881.875,768.25,845.5625,872.5,952.4375,773.375,935.1875,6
643419.56068349,6661588.83027309,4672,852,1143,1430,2665,254,350,217,3515,366,436,511,718,697,555,592,846,1770.625,2261.4375,2454.25,3235.1875,2545.75,2683.9375,618.25,2273.5,3193.5625,1382.8125,763.25,3412.875,728.125,907.5,872.1875,1032,815.25,975.875,802,867.9375,880.4375,993.25,800.125,1001.125,6
643319.56068349,6661648.83027309,4050,881,1195,1421,2734,234,310,179,3406,441,497,510,722,643,589,641,909,1806.5625,2366.9375,2585.25,2953.6875,2287.5,2753.0625,492.1875,2216.6875,3203,1075.25,517.375,3470.0625,682.625,720.5625,759.5,808.3125,659.6875,787.8125,784.8125,782.4375,834.5,741.6875,621.25,885.375,6
643349.56068349,6661708.83027309,3441,886,1199,1492,2764,248,335,206,3275,428,422,518,639,577,563,652,843,1836.875,2355,2533.875,3031.4375,2363.4375,2724.375,505.75,2172.875,3163.8125,1101.8125,536.75,3402.8125,673.125,673.8125,713.625,828.8125,684.5,815.8125,739,734.375,756.9375,807.1875,659.6875,847.625,6
643289.56068349,6661738.83027309,3129,838,1205,1391,2864,231,348,192,3702,425,427,611,855,826,818,877,1280,1659.0625,2419,2654.875,2588.125,2009.4375,2885.875,553.25,2361.875,3406.0625,1083.9375,532.0625,3658.9375,764.875,1026.875,1052.4375,894.75,690.1875,1209.25,1028.4375,1406.75,1515.0625,848.1875,636.0625,1623.625,6
643399.56068349,6661738.83027309,3140,746,1094,1313,2782,224,335,205,3487,437,384,550,672,549,503,594,847,1734.3125,2303.5625,2537.4375,3157.625,2402.8125,2753.9375,527.875,2259.6875,3306.625,1202.5,582.25,3624.1875,695.4375,774.6875,797.4375,970.5625,787.0625,892.875,801.25,810.1875,848.8125,944.5625,736.8125,928,6
643449.56068349,6660728.83027309,13447,408,566,741,1880,219,474,121,4313,442,458,583,1828,739,617,656,1650,1043.375,1428.375,1629.8125,2367.9375,1515.25,1915.9375,781,3130.375,3725.5,1513.6875,628.9375,3993.1875,911.5,1310.9375,1528.4375,1651.875,1059.8125,1915.75,1009.375,1336.0625,1492.875,1579.3125,1061.4375,1701.25,1
643129.56068349,6660748.83027309,13211,283,410,500,1445,236,498,219,3772,455,520,534,1676,840,753,822,1955,936.875,1258.4375,1438.75,1924.5625,1255.375,1679.4375,929.8125,2728.6875,3195.3125,1699.25,830.125,3513.0625,924.0625,1282.125,1412.25,1490.875,1054.0625,1810.0625,1230.75,1585.125,1628.125,1482,979.25,1872,1
643019.56068349,6660778.83027309,12894,413,520,664,1716,314,593,271,4161,552,571,664,1495,731,749,798,2217,1128,1500,1729.375,2501.125,1886.5625,1960.5625,1048.375,2852.625,3147,1853,1164.1875,3422.8125,1018.625,1450.1875,1630.4375,1616.9375,1147.125,1851.8125,1103.5,1482.8125,1645.25,1675.0625,1202.5625,1879,1
643109.56068349,6660788.83027309,12801,388,571,722,1679,163,231,186,2474,347,308,341,778,720,446,421,799,1046.5625,1404.5625,1543,2236.75,1652.25,1778,690.125,2311.3125,2818.3125,1482.4375,766.6875,3022.5,563.25,782.125,904.625,3054.6875,12117,1111.125,680.8125,849.5,932.6875,832.1875,580.1875,1061.6875,1
